sub_id,Site
sub-NDAREV848HWX,CBIC
sub-NDARFB506UJ3,CBIC
sub-NDARFD316UD2,CBIC
sub-NDARFG364YMG,CBIC
sub-NDARFG757CEU,CBIC
sub-NDARFG943GVZ,CBIC
sub-NDARFH234CYU,CBIC
sub-NDARFJ179MG0,CBIC
sub-NDARFJ803JF7,CBIC
sub-NDARFM619GTV,CBIC
sub-NDARFT698LLU,CBIC
sub-NDARGA921UHR,CBIC
sub-NDARGB000CW8,CBIC
sub-NDARGF543PM2,CBIC
sub-NDARGG423UMK,CBIC
sub-NDARGH842VFY,CBIC
sub-NDARGM439FZD,CBIC
sub-NDARGN782BZN,CBIC
sub-NDARGU182ELW,CBIC
sub-NDARGU844NZ3,CBIC
sub-NDARGX173AC3,CBIC
sub-NDARHC083LM6,CBIC
sub-NDARHC814ZZL,CBIC
sub-NDARHD276TYX,CBIC
sub-NDARHE772FWW,CBIC
sub-NDARHE899FJV,CBIC
sub-NDARHG125NEN,CBIC
sub-NDARHK506HLW,CBIC
sub-NDARHL822EJK,CBIC
sub-NDARHX934KJ5,CBIC
sub-NDARHZ375JRF,CBIC
sub-NDARJA262HTY,CBIC
sub-NDARJA356XHT,CBIC
sub-NDARJA788CH7,CBIC
sub-NDARJC010YYF,CBIC
sub-NDARJF579EH9,CBIC
sub-NDARJH492TVW,CBIC
sub-NDARJJ343TR0,CBIC
sub-NDARJM765EZF,CBIC
sub-NDARJU903AZH,CBIC
sub-NDARJZ888UX6,CBIC
sub-NDARKD590VF4,CBIC
sub-NDARKE456BVQ,CBIC
sub-NDARKF442GZ5,CBIC
sub-NDARKG594WKT,CBIC
sub-NDARKH168MC1,CBIC
sub-NDARKK597VDH,CBIC
sub-NDARKN175HWB,CBIC
sub-NDARKP414AZ5,CBIC
sub-NDARKV800DTW,CBIC
sub-NDARKV807EMJ,CBIC
sub-NDARLE335PRN,CBIC
sub-NDARLJ970DEY,CBIC
sub-NDARLL968KK1,CBIC
sub-NDARLM196YRG,CBIC
sub-NDARLN749FML,CBIC
sub-NDARLP507NKW,CBIC
sub-NDARLT216FTN,CBIC
